,genomesize,mingt,rrn,gramstain,kE,yEV,aX,gV,sav,yields,rho,Vmax,KD,BGE
1,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.835384615,2.60E-05,0.000277943,0.0012704,0.1514341
2,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.835384615,2.60E-05,0.000277943,0.001325784,0.151388189
3,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.933333333,1.09E-05,0.000116095,0.001512635,0.193031783
4,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.572,6.94E-05,0.000737361,0.0013351,0.178339931
5,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.572,8.26E-05,0.000874565,0.001384296,0.219208945
6,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.572,8.05E-05,0.000861961,0.001321636,0.226589087
7,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.572,8.53E-05,0.000902518,0.001387649,0.233699802
8,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.572,0.000108595,0.001359761,0.001474579,0.177655063
9,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.572,0.000399305,0.004708192,0.002373017,0.196742504
10,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.572,0.000288873,0.003587443,0.00215872,0.230613368
11,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.572,0.000120691,0.001294546,0.001454274,0.162855164
12,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.7325,4.15E-05,0.000443775,0.001286703,0.11740263
13,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.7325,5.55E-05,0.000587304,0.001340531,0.248906317
14,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.7325,8.48E-05,0.00106182,0.001443867,0.239056028
15,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.9,1.69E-05,0.000180592,0.001487411,0.177556277
16,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.881111111,1.92E-05,0.000204959,0.001329141,0.169536534
17,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.762222222,3.32E-05,0.000355392,0.001352741,0.126346244
18,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.643333333,5.91E-05,0.000631604,0.001221148,0.093745663
19,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.643333333,7.90E-05,0.000835881,0.001291249,0.205777257
20,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.643333333,0.000120693,0.001511237,0.001425824,0.204248287
21,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.643333333,6.11E-05,0.000776172,0.001222497,0.224626773
22,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.286666667,0.0167027,0.178597005,0.036093475,0.226355522
23,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.286666667,0.114055006,1.370593393,0.171211721,0.144243094
24,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.286666667,0.015638999,0.16625615,0.036181219,0.226445977
25,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.286666667,0.016612078,0.175960423,0.040272141,0.226441209
26,6.793945,5.32,3,2,1.187556721,1.268776278,0.00168609,0.257942124,1.601821482,0.286666667,0.019863478,0.211036645,0.043898907,0.22764428
27,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.286666667,0.042418206,0.437310706,0.10257238,0.169478464
28,5.642219,2.9,3,2,1.662426368,1.268776278,0.007238338,0.283840831,2.151122023,0.286666667,0.015345334,0.162594578,0.025639129,0.224653294
29,4.904121,6.24,5,2,1.071066953,1.439874503,0.002132716,0.253618415,2.687285911,0.286666667,0.014189693,0.155063582,0.019213832,0.200716471
30,6.067264,6.09,3,2,1.088478186,1.268776278,0.002462653,0.254229781,1.916888565,0.286666667,0.012843473,0.138037655,0.024136322,0.225574758
31,5.236918,2.72,9,1,1.713242229,1.704336196,0.003851715,0.287819287,2.421322349,0.286666667,0.031137781,0.394208612,0.045491135,0.174684022
32,4.705879,3.6,7,1,1.49028861,1.580239892,0.002592987,0.272466395,2.86918788,0.286666667,0.023611097,0.304722394,0.029437272,0.18664936
33,5.093035,2.24,9,1,1.865010579,1.704336196,0.002982621,0.301987954,2.530798404,0.286666667,0.037460627,0.470465209,0.052224085,0.17567875
34,6.306952,4.7,4,2,1.281439027,1.359773371,0.002408548,0.261873106,1.80255251,0.286666667,0.017531941,0.186844362,0.034627138,0.212248512
35,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.286666667,0.015965823,0.17091639,0.029800392,0.211845934
36,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.286666667,0.014400118,0.152320866,0.034379303,0.225295912
37,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.286666667,0.020585135,0.257753767,0.051634566,0.16656106
38,7.485871,4.36,8,1,1.339486862,1.643835616,0.001696574,0.264536854,1.373271716,0.286666667,0.01412533,0.176898394,0.036567626,0.175877156
39,6.657122,3.83,7,1,1.441204817,1.580239892,0.001384077,0.269708105,1.654393191,0.286666667,0.017836291,0.224652115,0.038284676,0.18450814
40,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.286666667,0.034857969,0.411008745,0.086777506,0.123138274
41,6.208105,0.96,8,2,2.431609475,1.643835616,0.001524297,0.434182184,1.848321703,0.286666667,0.196342798,1.916430986,0.369186321,0.191820556
42,8.179139,7.05,3,2,0.985893885,1.268776278,0.001857236,0.250785955,1.193165049,0.286666667,0.012878044,0.13551772,0.038326317,0.223726941
43,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.286666667,0.009570267,0.122143991,0.02088131,0.224394627
44,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.286666667,0.011115728,0.141091767,0.02373434,0.225016598
45,2.934896,6.3,3,2,1.064257172,1.268776278,0.004072804,0.253382415,6.070606279,0.286666667,0.005467799,0.061716753,0.004030252,0.22052845
46,2.785891,6.78,3,2,1.012740988,1.268776278,0.002055932,0.25165153,6.594023235,0.286666667,0.008186674,0.092711602,0.005211865,0.223659453
47,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.286666667,0.023776604,0.295275774,0.067812935,0.149878811
48,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.286666667,0.012643092,0.135611239,0.027245631,0.155046667
49,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.465,0.000130756,0.001398131,0.001549942,0.236606234
50,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.465,0.003693233,0.044381403,0.008413778,0.20567716
51,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.465,8.53E-05,0.000907034,0.001441192,0.135582201
52,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.465,0.000101565,0.001075809,0.00150438,0.16888008
53,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.465,0.000723656,0.007460534,0.003461309,0.241353197
54,4.904121,6.24,5,2,1.071066953,1.439874503,0.002132716,0.253618415,2.687285911,0.465,0.000130564,0.001426787,0.001409751,0.210227066
55,6.306952,4.7,4,2,1.281439027,1.359773371,0.002408548,0.261873106,1.80255251,0.465,0.00014411,0.001535829,0.001552195,0.230980521
56,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.465,9.90E-05,0.001060305,0.0014239,0.174352525
57,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.465,0.000104956,0.001110194,0.001508687,0.180399747
58,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.465,0.000133584,0.001672652,0.00162034,0.139853916
59,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.465,0.000491189,0.005791583,0.002774297,0.158528767
60,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.465,9.57E-05,0.001221085,0.001450676,0.220518049
61,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.465,0.000355345,0.004412941,0.002499053,0.185471462
62,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.465,0.000148463,0.001592431,0.00159426,0.127986782
63,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.572,6.94E-05,0.000737361,0.001338847,0.178338815
64,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.572,8.26E-05,0.000874565,0.001388182,0.219208015
65,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.572,8.05E-05,0.000861961,0.001325346,0.226588341
66,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.572,8.53E-05,0.000902518,0.001391544,0.233698937
67,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.572,0.000108595,0.001359761,0.001478718,0.177654496
68,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.572,0.000399305,0.004708192,0.002379677,0.19674228
69,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.572,0.000288873,0.003587443,0.002164779,0.230613062
70,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.572,0.000120691,0.001294546,0.001458356,0.162854612
71,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.898095238,3.41E-05,0.000351162,0.001372079,0.242265256
72,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.898095238,2.30E-05,0.000285607,0.001348607,0.005812238
73,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.916666667,1.38E-05,0.000147757,0.001394078,0.185214884
74,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.643333333,7.88E-05,0.000842138,0.001151803,0.093783315
75,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.643333333,0.000105363,0.001114508,0.001236557,0.205795951
76,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.643333333,0.000160924,0.002014983,0.001399262,0.204252359
77,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.643333333,8.15E-05,0.001034896,0.001153434,0.224649673
78,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.944444444,8.94E-06,9.56E-05,0.001540903,0.198508344
79,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.643333333,5.91E-05,0.000631604,0.001291085,0.093707687
80,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.643333333,7.90E-05,0.000835881,0.001365201,0.205751978
81,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.643333333,0.000120693,0.001511237,0.001507484,0.20423577
82,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.643333333,6.11E-05,0.000776172,0.001292511,0.224603557
83,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.465,0.000108963,0.001165109,0.00128996,0.057285959
84,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.465,0.00662888,0.079658928,0.012257575,0.206267718
85,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.465,0.000145772,0.001541936,0.001413936,0.133064365
86,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.465,0.00022264,0.002787754,0.001651935,0.139850379
87,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.465,0.002455943,0.028957913,0.00789249,0.182651361
88,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.465,0.000159458,0.002035142,0.001407091,0.220524094
89,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.465,0.000112802,0.001431791,0.001292346,0.14344622
90,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.465,0.000592242,0.007354901,0.002920009,0.185453654
91,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.465,0.003739068,0.04010567,0.009865346,0.248086415
92,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.805454545,3.15E-05,0.000336317,0.001178795,0.140723502
93,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.888888889,1.90E-05,0.000203166,0.001433239,0.172753082
94,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.847142857,2.56E-05,0.000274086,0.001216812,0.15594345
95,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.572,0.011646408,0.137322269,0.033702448,0.246979453
96,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.847142857,2.56E-05,0.000274086,0.001330704,0.1558467
97,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.909090909,1.52E-05,0.000162533,0.0013983,0.181725885
98,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.857142857,2.53E-05,0.000270888,0.001233031,0.159834774
99,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.694285714,5.47E-05,0.000585252,0.001218413,0.106732265
100,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.694285714,7.32E-05,0.000774537,0.001283803,0.229793835
101,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.694285714,0.000111835,0.00140033,0.001409333,0.223854869
102,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.881111111,1.92E-05,0.000204959,0.001378949,0.169491142
103,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.5,0.000152003,0.001625327,0.00149563,0.063442612
104,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.5,0.009247288,0.111124205,0.017924893,0.221802318
105,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.5,0.000203351,0.002151001,0.001681342,0.146027036
106,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.5,0.000310583,0.003888916,0.00203786,0.151897309
107,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.5,0.00342604,0.040396288,0.011386084,0.19668393
108,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.5,0.000222444,0.002839022,0.001671089,0.240652099
109,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.5,0.000157358,0.001997348,0.001499203,0.157797435
110,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.5,0.000826177,0.010260087,0.00393741,0.200100024
111,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.916666667,1.38E-05,0.000147757,0.001525082,0.185086501
112,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.694285714,5.47E-05,0.000585252,0.001287052,0.106690359
113,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.694285714,7.32E-05,0.000774537,0.001356126,0.229766882
114,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.694285714,0.000111835,0.00140033,0.001488728,0.223841794
115,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.888888889,1.90E-05,0.000203166,0.001232049,0.172939372
116,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.898095238,1.69E-05,0.000180975,0.001361349,0.176832636
117,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.847142857,2.56E-05,0.000274086,0.001213457,0.1559463
118,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.572,8.67E-05,0.000921702,0.00128781,0.178354012
119,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.572,0.000103207,0.001093206,0.001345025,0.219218344
120,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.572,0.000100648,0.001077452,0.001272152,0.226599047
121,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.572,0.000106653,0.001128147,0.001348924,0.233708405
122,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.572,0.000135744,0.001699701,0.001450022,0.177658426
123,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.572,0.000499132,0.00588524,0.002494886,0.196738401
124,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.572,0.000361091,0.004484304,0.002245663,0.230608977
125,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.572,0.000150864,0.001618183,0.001426407,0.162858927
126,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.86625,2.19E-05,0.000234535,0.001302165,0.163420095
127,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.874117647,2.17E-05,0.000232424,0.001252319,0.166685566
128,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.465,0.000130756,0.001398131,0.001553834,0.236605768
129,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.465,0.003693233,0.044381403,0.008434904,0.205677013
130,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.465,8.53E-05,0.000907034,0.001444811,0.135581347
131,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.465,0.000101565,0.001075809,0.001508157,0.168879349
132,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.465,0.000723656,0.007460534,0.00347,0.241353019
133,4.904121,6.24,5,2,1.071066953,1.439874503,0.002132716,0.253618415,2.687285911,0.465,0.000130564,0.001426787,0.001413291,0.210226696
134,6.306952,4.7,4,2,1.281439027,1.359773371,0.002408548,0.261873106,1.80255251,0.465,0.00014411,0.001535829,0.001556092,0.230980125
135,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.465,9.90E-05,0.001060305,0.001427475,0.174351937
136,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.465,0.000104956,0.001110194,0.001512475,0.180399062
137,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.465,0.000133584,0.001672652,0.001624408,0.13985346
138,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.465,0.000491189,0.005791583,0.002781263,0.158528571
139,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.465,9.57E-05,0.001221085,0.001454318,0.220517544
140,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.465,0.000355345,0.004412941,0.002505328,0.185471196
141,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.465,0.000148463,0.001592431,0.001598263,0.127986341
142,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.944444444,8.94E-06,9.56E-05,0.001540903,0.198508344
143,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.572,0.000196259,0.002572901,0.001434225,0.246488378
144,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.7325,4.44E-05,0.000580079,0.001239731,0.245415789
145,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.643333333,6.33E-05,0.000825598,0.001159975,0.202492877
146,5.177578,2.78,8,1,1.695966091,1.643835616,0.002308658,0.286429607,2.465519048,0.286666667,0.035772011,0.453727663,0.051208345,0.182229245
147,4.210445,2.52,8,1,1.773422708,1.643835616,0.005382182,0.292987722,3.423307443,0.286666667,0.027489327,0.351944018,0.028746868,0.179437124
148,4.467545,3.57,5,1,1.496936862,1.439874503,0.004570775,0.272854618,3.115926998,0.286666667,0.017102035,0.221408153,0.019935915,0.20123977
149,5.264264,3.33,8,2,1.552321204,1.643835616,0.007190364,0.276235383,2.401387876,0.286666667,0.02228911,0.238598228,0.03308641,0.177047046
150,4.567713,2.25,6,1,1.861580257,1.51268153,0.003652758,0.301622692,3.008165748,0.286666667,0.041587474,0.526485183,0.048836804,0.197152124
151,3.223982,5.26,5,2,1.196038209,1.439874503,0.002008287,0.258279697,5.229622414,0.286666667,0.019160905,0.214572309,0.013610001,0.202528279
152,4.829548,3.88,3,1,1.430956861,1.268776278,0.002732841,0.269155142,2.753447978,0.286666667,0.012362177,0.159675042,0.016472919,0.225807344
153,4.034872,1.82,6,1,2.021099712,1.51268153,0.003085924,0.321573906,3.662757656,0.286666667,0.050502228,0.635991985,0.048709129,0.198301315
154,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.286666667,0.010769121,0.141180442,0.013826943,0.15468912
155,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.286666667,0.016184519,0.211218761,0.019515592,0.20195746
156,6.646877,7.49,9,2,0.945063193,1.704336196,0.002098048,0.249514533,1.658442575,0.286666667,0.021232202,0.227355062,0.045292378,0.174198066
157,2.549675,0.75,13,1,2.553415178,1.925598275,0.001758056,0.518724026,7.589771807,0.286666667,0.24768555,2.892581928,0.114046314,0.180696917
158,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.465,0.000241419,0.003164944,0.001568509,0.197207094
159,2.549675,0.75,13,1,2.553415178,1.925598275,0.001758056,0.518724026,7.589771807,0.465,0.006940683,0.081056385,0.005342586,0.24740023
160,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.572,0.000196259,0.002572901,0.001438251,0.246488169
161,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.643333333,8.43E-05,0.001100798,0.001077844,0.202515837
162,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.643333333,6.33E-05,0.000825598,0.001226409,0.202474304
163,5.177578,2.78,8,1,1.695966091,1.643835616,0.002308658,0.286429607,2.465519048,0.465,0.000408389,0.005179952,0.00168099,0.232575553
164,4.210445,2.52,8,1,1.773422708,1.643835616,0.005382182,0.292987722,3.423307443,0.465,0.000245606,0.003144479,0.00131173,0.196262944
165,4.467545,3.57,5,1,1.496936862,1.439874503,0.004570775,0.272854618,3.115926998,0.465,0.000143445,0.00185708,0.001210623,0.172291936
166,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.465,0.000804731,0.010549815,0.002124696,0.224620503
167,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.465,0.000116697,0.001522967,0.001181776,0.130527143
168,6.646877,7.49,9,2,0.945063193,1.704336196,0.002098048,0.249514533,1.658442575,0.465,0.00076835,0.008227512,0.002851581,0.239593111
169,2.549675,0.75,13,1,2.553415178,1.925598275,0.001758056,0.518724026,7.589771807,0.465,0.013881367,0.16211277,0.008222313,0.249253382
170,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.694285714,5.86E-05,0.000765009,0.001161352,0.226373787
171,4.210445,2.52,8,1,1.773422708,1.643835616,0.005382182,0.292987722,3.423307443,0.5,0.000342621,0.004386549,0.001528241,0.212953132
172,4.467545,3.57,5,1,1.496936862,1.439874503,0.004570775,0.272854618,3.115926998,0.5,0.000200105,0.002590626,0.001376784,0.188369921
173,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.5,0.001122599,0.014716992,0.002746047,0.242134337
174,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.5,0.000162792,0.00212454,0.001333571,0.143363443
175,4.560838,4.82,5,1,1.262130743,1.439874503,0.003057654,0.261028345,3.015366559,0.694285714,5.86E-05,0.000765009,0.001226777,0.226353946
176,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.572,0.000245323,0.003216126,0.001403091,0.246489998
177,4.684622,6.28,12,1,1.066517473,1.872678994,0.002923702,0.253460556,2.889880896,0.465,0.000241419,0.003164944,0.001572447,0.197206919
178,2.549675,0.75,13,1,2.553415178,1.925598275,0.001758056,0.518724026,7.589771807,0.465,0.006940683,0.081056385,0.005356,0.247400125