k_E,y_EV,response,Vcell,FCR
0.990757793,1.268776278,positive,2.54E-17,0.046949049
2.247728614,2.270981174,negative,9.04E-18,0.17394653
1.695966091,1.643835616,undefined,7.55E-18,0.115330451
1.088478186,1.268776278,positive,3.11E-17,0.071188728
1.132663739,1.268776278,positive,3.61E-17,0.068928587
1.187556721,1.268776278,positive,2.75E-17,0.076697187
1.801882877,1.762357889,positive,3.74E-17,0.118997885
1.662426368,1.268776278,positive,1.14E-17,0.079153565
1.773422708,1.643835616,undefined,2.82E-18,0.099471911
1.496936862,1.439874503,undefined,3.74E-18,0.086906315
1.071066953,1.439874503,positive,5.83E-18,0.080487639
1.088478186,1.268776278,positive,1.61E-17,0.073064594
1.552321204,1.643835616,undefined,8.17E-18,0.074986947
1.713242229,1.704336196,negative,7.97E-18,0.10386893
1.49028861,1.580239892,negative,4.79E-18,0.099567623
1.865010579,1.704336196,negative,6.98E-18,0.124428916
1.861580257,1.51268153,undefined,4.15E-18,0.118976292
1.196038209,1.439874503,undefined,7.91E-19,0.090691631
1.430956861,1.268776278,undefined,5.42E-18,0.094329002
1.281439027,1.359773371,positive,1.93E-17,0.081440187
1.232718085,1.359773371,positive,1.61E-17,0.078177798
1.216306199,1.268776278,positive,3.41E-17,0.070385532
2.021099712,1.51268153,undefined,2.30E-18,0.142544926
1.376145972,1.762357889,negative,4.06E-17,0.065122534
1.339486862,1.643835616,positive,4.37E-17,0.082814445
1.441204817,1.580239892,positive,2.50E-17,0.097655383
1.066517473,1.872678994,undefined,4.69E-18,0.076970255
1.262130743,1.439874503,undefined,4.13E-18,0.084326686
2.190244495,2.41130031,negative,4.06E-17,0.080409461
2.431609475,1.643835616,positive,1.79E-17,0.249254204
0.985893885,1.268776278,positive,6.66E-17,0.050287598
0.945063193,1.704336196,undefined,2.48E-17,0.066433228
1.086124111,1.268776278,negative,2.47E-17,0.062212388
1.274937838,1.268776278,negative,2.35E-17,0.07483675
1.064257172,1.268776278,positive,5.06E-19,0.072815107
1.012740988,1.268776278,positive,3.94E-19,0.083035865
2.553415178,1.925598275,undefined,2.59E-19,0.260280794
1.399116158,1.977331951,positive,6.05E-17,0.064543443
0.875808688,1.872678994,positive,2.45E-17,0.064297002